Roll No,Score,Rank
10415,85,1
10107,83,2
10280,83,2
10639,83,2
10099,82,3
10108,82,3
10320,81,4
11502,81,4
10098,80,5
10638,80,5
10792,80,5
11504,80,5
10686,79,6
10748,79,6
10476,78,7
10742,78,7
10761,77,8
10094,76,9
10264,76,9
10323,76,9
10354,76,9
10685,76,9
10819,76,9
10040,75,10
10095,75,10
10100,75,10
10358,75,10
10530,75,10
10636,75,10
10775,75,10
10333,74,11
10637,74,11
10710,74,11
10712,74,11
10037,73,12
10056,73,12
10220,73,12
10411,73,12
10494,73,12
10496,73,12
10503,73,12
10621,73,12
10058,72,13
10020,71,14
10021,71,14
10247,71,14
10388,71,14
10595,71,14
10696,71,14
10009,70,15
10012,70,15
10215,70,15
10277,70,15
10558,70,15
10776,70,15
10045,69,16
10097,69,16
10127,69,16
10248,69,16
10291,69,16
10365,69,16
10390,69,16
10436,69,16
10596,69,16
10628,69,16
10751,69,16
10343,68,17
10549,68,17
10622,68,17
10645,68,17
10666,68,17
10004,67,18
10055,67,18
10222,67,18
10317,67,18
10395,67,18
10668,67,18
10743,67,18
10818,67,18
10101,66,19
10233,66,19
10355,66,19
10647,66,19
10660,66,19
10772,66,19
10781,66,19
10438,65,20
10608,65,20
10017,64,21
10237,64,21
10452,64,21
10618,64,21
10649,64,21
10691,64,21
10713,64,21
10782,64,21
10005,63,22
10043,63,22
10332,63,22
10442,63,22
10610,63,22
10619,63,22
10623,63,22
10633,63,22
10756,63,22
10103,62,23
10429,62,23
10468,62,23
10469,62,23
10531,62,23
10630,62,23
10635,62,23
10689,62,23
10046,61,24
10047,61,24
10254,61,24
10303,61,24
10376,61,24
10399,61,24
10459,61,24
10526,61,24
10600,61,24
10604,61,24
10609,61,24
10757,61,24
10018,60,25
10038,60,25
10049,60,25
10102,60,25
10122,60,25
10236,60,25
10364,60,25
10441,60,25
10470,60,25
10504,60,25
10506,60,25
10599,60,25
10681,60,25
10724,60,25
10175,59,26
10212,59,26
10363,59,26
10557,59,26
10605,59,26
10687,59,26
10707,59,26
10737,59,26
10766,59,26
10070,58,27
10081,58,27
10118,58,27
10141,58,27
10143,58,27
10156,58,27
10227,58,27
10235,58,27
10403,58,27
10434,58,27
10439,58,27
10460,58,27
10471,58,27
10569,58,27
10589,58,27
10620,58,27
10672,58,27
10674,58,27
10740,58,27
10779,58,27
10796,58,27
10073,57,28
10142,57,28
10176,57,28
10183,57,28
10195,57,28
10240,57,28
10413,57,28
10461,57,28
10475,57,28
10508,57,28
10512,57,28
10556,57,28
10598,57,28
10601,57,28
10641,57,28
10692,57,28
10695,57,28
10747,57,28
10760,57,28
10790,57,28
11511,57,28
10059,56,29
10112,56,29
10113,56,29
10128,56,29
10187,56,29
10204,56,29
10304,56,29
10309,56,29
10315,56,29
10449,56,29
10501,56,29
10546,56,29
10624,56,29
10714,56,29
10738,56,29
10041,55,30
10050,55,30
10053,55,30
10090,55,30
10209,55,30
10357,55,30
10432,55,30
10491,55,30
10502,55,30
10514,55,30
10590,55,30
10602,55,30
10616,55,30
10648,55,30
10717,55,30
10029,54,31
10048,54,31
10074,54,31
10085,54,31
10159,54,31
10296,54,31
10337,54,31
10362,54,31
10404,54,31
10493,54,31
10532,54,31
10706,54,31
10735,54,31
10764,54,31
10778,54,31
10780,54,31
10797,54,31
10815,54,31
10816,54,31
10114,53,32
10125,53,32
10194,53,32
10341,53,32
10383,53,32
10522,53,32
10644,53,32
10675,53,32
10715,53,32
10741,53,32
10010,52,33
10036,52,33
10117,52,33
10130,52,33
10278,52,33
10279,52,33
10305,52,33
10307,52,33
10325,52,33
10327,52,33
10356,52,33
10359,52,33
10378,52,33
10450,52,33
10634,52,33
10652,52,33
10659,52,33
10699,52,33
10702,52,33
10705,52,33
10759,52,33
10774,52,33
10784,52,33
10044,51,34
10075,51,34
10080,51,34
10196,51,34
10234,51,34
10251,51,34
10318,51,34
10336,51,34
10393,51,34
10412,51,34
10418,51,34
10443,51,34
10472,51,34
10729,51,34
10762,51,34
10064,50,35
10153,50,35
10184,50,35
10185,50,35
10198,50,35
10206,50,35
10290,50,35
10308,50,35
10322,50,35
10335,50,35
10406,50,35
10435,50,35
10453,50,35
10484,50,35
10500,50,35
10581,50,35
10611,50,35
10708,50,35
10746,50,35
10773,50,35
11503,50,35
10013,49,36
10026,49,36
10057,49,36
10066,49,36
10169,49,36
10201,49,36
10292,49,36
10301 GAYATRI ,49,36
10361,49,36
10387,49,36
10448,49,36
10462,49,36
10513,49,36
10592,49,36
10655,49,36
10657,49,36
10694,49,36
10728,49,36
10744,49,36
10006,48,37
10014,48,37
10028,48,37
10061,48,37
10083,48,37
10129,48,37
10131,48,37
10140,48,37
10163,48,37
10200,48,37
10276,48,37
10283,48,37
10339,48,37
10346,48,37
10375,48,37
10440,48,37
10499,48,37
10593,48,37
10627,48,37
10688,48,37
10693,48,37
10723,48,37
10732,48,37
10749,48,37
10770,48,37
10791,48,37
10078,47,38
10089,47,38
10182,47,38
10202,47,38
10269,47,38
10348,47,38
10349,47,38
10396,47,38
10521,47,38
10550,47,38
10614,47,38
10631,47,38
10653,47,38
10661,47,38
10684,47,38
10733,47,38
10820,47,38
10008,46,39
10024,46,39
10035,46,39
10079,46,39
10145,46,39
10157,46,39
10178,46,39
10207,46,39
10267,46,39
10275,46,39
10300,46,39
10312,46,39
10326,46,39
10417,46,39
10423,46,39
10455,46,39
10481,46,39
10563,46,39
10568,46,39
10606,46,39
10615,46,39
10719,46,39
10726,46,39
10750,46,39
10769,46,39
10793,46,39
10795,46,39
11505,46,39
10034,45,40
10087,45,40
10111,45,40
10148,45,40
10155,45,40
10181,45,40
10242,45,40
10246,45,40
10252,45,40
10294,45,40
10352,45,40
10391,45,40
10477,45,40
10490,45,40
10527,45,40
10529,45,40
10566,45,40
10570,45,40
10571,45,40
10580,45,40
10591,45,40
10607,45,40
10671,45,40
10716,45,40
10799,45,40
10801,45,40
10812,45,40
11506,45,40
10003,44,41
10161,44,41
10208,44,41
10350,44,41
10377,44,41
10392,44,41
10422,44,41
10447,44,41
10457,44,41
10548,44,41
10559,44,41
10561,44,41
10632,44,41
10651,44,41
10656,44,41
10703,44,41
10709,44,41
10071,43,42
10072,43,42
10119,43,42
10160,43,42
10223,43,42
10239,43,42
10273,43,42
10330,43,42
10414,43,42
10427,43,42
10483,43,42
10518,43,42
10567,43,42
10665,43,42
10667,43,42
10690,43,42
10698,43,42
10701,43,42
10725,43,42
10786,43,42
10092,42,43
10096,42,43
10105,42,43
10120,42,43
10210,42,43
10218,42,43
10245,42,43
10319,42,43
10351,42,43
10407,42,43
10489,42,43
10517,42,43
10626,42,43
10629,42,43
10663,42,43
10752,42,43
10788,42,43
10802,42,43
10042,41,44
10068,41,44
10086,41,44
10121,41,44
10133,41,44
10219,41,44
10221,41,44
10228,41,44
10249,41,44
10266,41,44
10274,41,44
10287,41,44
10289,41,44
10316,41,44
10344,41,44
10368,41,44
10402,41,44
